Transect,Date,Time,PAR,PAR_MIN,PAR_MAX,BATT,SITE,CHK
T-1,8/29/2018,8:35:47 AM,336.71,329.49,340.67,5.16,1XS ,137
T-1,8/29/2018,8:36:26 AM,139.7,136.9,144.37,5.16,101,54
T-1,8/29/2018,8:36:57 AM,27.721,27.57,27.829,5.16,102,72
T-1,8/29/2018,8:37:23 AM,6.4332,6.4014,6.5359,5.16,103,53
T-1,8/29/2018,8:37:51 AM,1.6713,1.6398,1.6667,5.15,104,66
T-1,8/29/2018,8:38:32 AM,0.40632,0.40126,0.41257,5.15,1XB ,243
T-1,8/29/2018,9:02:08 AM,483.35,471.87,495.15,5.14,2XS ,130
T-1,8/29/2018,9:02:39 AM,39.305,39.08,39.383,5.14,201,54
T-1,8/29/2018,9:03:03 AM,8.6897,8.6015,8.7827,5.15,202,74
T-1,8/29/2018,9:03:51 AM,503.39,502.94,530.57,5.15,2XS ,123
T-1,8/29/2018,9:04:14 AM,191.82,191.27,195.08,5.15,201,56
T-1,8/29/2018,9:04:33 AM,38.614,38.369,39.156,5.15,202,70
T-1,8/29/2018,9:04:53 AM,8.6248,8.5903,8.7144,5.15,203,77
T-1,8/29/2018,9:05:20 AM,1.9174,1.9105,1.9302,5.15,204,43
T-1,8/29/2018,9:05:42 AM,0.46429,0.45501,0.47572,5.15,205,206
T-1,8/29/2018,9:06:02 AM,0.093492,0.06856,0.10807,5.15,206,49
T-1,8/29/2018,9:26:10 AM,507.13,501.88,513.49,5.08,4XS ,120
T-1,8/29/2018,9:26:40 AM,206.33,204.98,208.85,5.08,401,51
T-1,8/29/2018,9:27:00 AM,34.973,34.637,35.089,5.08,402,65
T-1,8/29/2018,9:27:23 AM,6.9416,6.8342,7.0645,5.08,403,70
T-1,8/29/2018,9:27:47 AM,1.2328,1.2149,1.2457,5.08,404,60
T-1,8/29/2018,9:28:12 AM,0.2699,0.26495,0.27473,5.08,405,223
T-1,8/29/2018,9:28:46 AM,0.27362,0.26111,0.28873,5.08,4XB ,14
T-1,8/29/2018,10:06:27 AM,715.92,692.23,746.64,5.08,3XS ,130
T-1,8/29/2018,10:06:54 AM,307.86,306.13,310.65,5.1,301,30
T-1,8/29/2018,10:07:12 AM,57.859,57.956,60.008,5.1,302,56
T-1,8/29/2018,10:07:31 AM,14.714,13.868,14.678,5.1,303,49
T-1,8/29/2018,10:07:50 AM,3.4548,3.2105,3.6129,5.1,304,40
T-1,8/29/2018,10:08:09 AM,0.78121,0.7653,0.79195,5.11,305,208
T-1,8/29/2018,10:08:36 AM,0.20444,0.14794,0.2143,5.11,3XB ,241
T-2,8/29/2018,10:52:30 AM,1078.7,1052.1,1145.1,5.11,1XS ,88
T-2,8/29/2018,10:53:06 AM,535.07,520.74,545.54,5.12,101,39
T-2,8/29/2018,10:53:26 AM,138.89,137.59,139.99,5.13,102,69
T-2,8/29/2018,10:53:58 AM,32.06,31.506,32.906,5.13,103,38
T-2,8/29/2018,10:54:26 AM,8.1239,7.6927,8.2356,5.13,104,70
T-2,8/29/2018,10:54:55 AM,2.1486,2.1987,2.2704,5.13,105,60
T-2,8/29/2018,10:55:15 AM,1.1438,1.146,1.2022,5.13,1XB ,85
T-2,8/29/2018,11:17:14 AM,658.28,654.62,756.78,5.12,2XS ,135
T-2,8/29/2018,11:18:08 AM,303.38,278.99,314.95,5.13,201,59
T-2,8/29/2018,11:18:31 AM,76.871,70.252,82.338,5.13,202,53
T-2,8/29/2018,11:18:59 AM,17.664,17.527,18.417,5.13,203,64
T-2,8/29/2018,11:19:19 AM,5.5354,5.0387,5.5759,5.13,204,73
T-2,8/29/2018,11:19:39 AM,2.1371,2.0707,2.4038,5.13,205,49
T-2,8/29/2018,11:19:58 AM,0.63245,0.61162,0.65036,5.13,206,206
T-2,8/29/2018,11:20:13 AM,0.32225,0.070593,0.33775,5.12,2XB ,32
T-2,8/29/2018,11:38:14 AM,213.03,216.1,222.81,5.11,3XS ,87
T-2,8/29/2018,11:38:42 AM,95.883,94.056,99.244,5.12,301,68
T-2,8/29/2018,11:39:00 AM,22.952,22.613,23.578,5.12,302,40
T-2,8/29/2018,11:39:20 AM,6.4252,6.2418,6.5458,5.13,303,55
T-2,8/29/2018,11:39:45 AM,1.5143,1.4844,1.5395,5.13,304,55
T-2,8/29/2018,11:40:07 AM,0.35123,0.34103,0.36174,5.12,305,179
T-2,8/29/2018,11:40:26 AM,0.062598,0.04971,0.081929,5.13,306,106
T-2,8/29/2018,12:03:30 PM,196.15,194.13,199.85,5.1,4XS ,116
T-2,8/29/2018,12:04:09 PM,92.366,90.957,93.619,5.12,401,66
T-2,8/29/2018,12:04:32 PM,22.937,21.304,23.033,5.12,402,25
T-2,8/29/2018,12:04:54 PM,5.8451,5.6126,5.7027,5.12,403,52
T-2,8/29/2018,12:05:11 PM,1.4062,1.3922,1.4367,5.12,404,36
T-2,8/29/2018,12:05:29 PM,0.30011,0.28768,0.3222,5.12,405,185
T-2,8/29/2018,12:05:43 PM,0.13123,0,0.53701,5.12,4XB ,169
T-3,6/6/2018,9:49:10 AM,448.61,438.36,470.65,5.83,1XB ,111
T-3,6/6/2018,9:50:32 AM,74.342,71.299,79.379,5.83,101,69
T-3,6/6/2018,9:51:38 AM,6.3074,5.1674,6.329,5.83,102,61
T-3,6/6/2018,9:52:30 AM,0.68514,0.6748,0.6871,5.83,103,202
T-3,6/6/2018,9:53:15 AM,0.07185,0.052285,0.098027,5.83,104,96
T-3,6/6/2018,9:53:56 AM,0.0099612,0,0.025571,5.82,105,34
T-3,6/6/2018,9:54:52 AM,0.0022736,0,0.0036612,5.82,106,74
T-3,6/6/2018,9:55:49 AM,0.00635,0,0.019613,5.82,1XB ,76
T-3,6/6/2018,11:07:20 AM,472.87,459.95,486.46,5.82,2XS ,135
T-3,6/6/2018,11:08:24 AM,103.34,90.009,110.94,5.82,201,26
T-3,6/6/2018,11:08:51 AM,10.313,9.9199,10.843,5.82,202,47
T-3,6/6/2018,11:09:27 AM,1.0015,0.92037,1.0176,5.81,203,83
T-3,6/6/2018,11:10:02 AM,0.12286,0.084392,0.11469,5.81,204,230
T-3,6/6/2018,11:10:45 AM,0.012551,0.0040358,0.018995,5.81,205,129
T-3,6/6/2018,11:11:25 AM,0.0046461,0,0.011707,5.81,206,7
T-3,6/6/2018,11:12:15 AM,0.0038807,0,0.010365,5.8,2XB ,65
T-3,6/6/2018,11:45:27 AM,770.18,751.02,817.76,5.81,5XS ,126
T-3,6/6/2018,11:46:06 AM,190.78,180.89,214.6,5.81,501,50
T-3,6/6/2018,11:46:35 AM,11.369,10.867,11.743,5.81,502,49
T-3,6/6/2018,11:47:05 AM,0.86117,0.8499,0.88614,5.8,503,215
T-3,6/6/2018,11:47:37 AM,0.06443,0.056682,0.069532,5.8,504,101
T-3,6/6/2018,11:48:20 AM,0.0084683,0.0045176,0.016025,5.8,505,182
T-3,6/6/2018,11:48:58 AM,0.0046497,0,0.033285,5.8,506,38
T-3,6/6/2018,11:49:40 AM,0.00028983,0,0.0014491,5.8,5XB ,179
T-3,6/6/2018,12:50:27 PM,866.53,801.17,908.88,5.8,4XS ,131
T-3,6/6/2018,12:51:10 PM,236.86,222,241.98,5.8,401,30
T-3,6/6/2018,12:51:40 PM,16.025,14.752,16.802,5.8,402,31
T-3,6/6/2018,12:52:16 PM,1.6021,1.3356,1.6294,5.8,403,39
T-3,6/6/2018,12:52:48 PM,0.1178,0.08175,0.13027,5.8,404,241
T-3,6/6/2018,12:53:14 PM,0.014539,0.01405,0.034763,5.79,405,81
T-3,6/6/2018,12:53:42 PM,0.001506,0,0.0075299,5.79,406,74
T-3,6/6/2018,12:54:26 PM,0.0093326,0,0.0065709,5.79,407,87
T-3,6/6/2018,12:55:02 PM,0.0034722,0,0.0096395,5.79,4XB ,136
T-3,6/6/2018,1:33:12 PM,451.61,425.37,482.15,5.8,3XS ,106
T-3,6/6/2018,1:33:55 PM,272.66,260.98,297.92,5.8,301,61
T-3,6/6/2018,1:34:29 PM,19.344,18.813,19.776,5.8,302,62
T-3,6/6/2018,1:34:56 PM,2.0583,1.7899,2.141,5.8,303,53
T-3,6/6/2018,1:35:33 PM,0.24059,0.14727,0.26771,5.8,304,201
T-3,6/6/2018,1:35:59 PM,0.060627,0.046588,0.080534,5.8,305,99
T-3,6/6/2018,1:36:23 PM,0.0078515,0,0.01552,5.8,306,14
T-3,6/6/2018,1:36:52 PM,0.0080107,0,0.036041,5.8,307,10
T-3,6/6/2018,1:37:32 PM,0.016408,0,0.034506,5.8,308,228
T-3,6/6/2018,1:37:59 PM,0.022698,0,0.086095,5.79,3XB ,59
T-4,8/29/2018,12:44:50 PM,363.54,356.11,384.01,5.1,1XS ,101
T-4,8/29/2018,12:45:16 PM,181.37,176.7,182.51,5.11,101,38
T-4,8/29/2018,12:45:35 PM,68.714,63.089,71.698,5.11,102,67
T-4,8/29/2018,12:45:55 PM,16.465,15.915,16.842,5.11,103,53
T-4,8/29/2018,12:46:16 PM,4.2674,4.172,4.2851,5.11,104,47
T-4,8/29/2018,12:46:36 PM,1.2066,1.1872,1.2339,5.11,105,47
T-4,8/29/2018,12:46:53 PM,0.32732,0.31079,0.34109,5.11,106,195
T-4,8/29/2018,12:47:13 PM,0.45459,0.34493,0.47994,5.11,1XB ,19
T-4,8/29/2018,1:17:01 PM,1364.6,1291.7,1372.5,5.11,2XS ,105
T-4,8/29/2018,1:17:34 PM,597.94,591.91,602.23,5.12,201,54
T-4,8/29/2018,1:18:00 PM,145.49,142.89,146.68,5.12,202,52
T-4,8/29/2018,1:18:38 PM,32.943,30.234,33.202,5.12,203,37
T-4,8/29/2018,1:18:59 PM,8.4079,8.2554,8.6554,5.12,204,80
T-4,8/29/2018,1:19:13 PM,2.4948,2.2549,8.3495,5.12,205,72
T-4,8/29/2018,1:19:34 PM,0.53648,0.50847,0.56928,5.12,206,224
T-4,8/29/2018,1:19:49 PM,0.31819,0.28716,0.35562,5.12,2XB ,15
T-4,8/29/2018,1:40:18 PM,1212.9,1138.6,1250.3,5.1,4XS ,96
T-4,8/29/2018,1:40:38 PM,682.23,646.84,718.83,5.11,401,58
T-4,8/29/2018,1:40:56 PM,176.62,167.98,176.93,5.11,402,64
T-4,8/29/2018,1:41:13 PM,43.158,42.271,44.563,5.12,403,42
T-4,8/29/2018,1:41:30 PM,10.99,10.635,11.139,5.12,404,34
T-4,8/29/2018,1:41:46 PM,2.7184,2.6171,2.8797,5.12,405,67
T-4,8/29/2018,1:41:55 PM,2.8599,2.5197,3.1462,5.12,4XB ,122
T-4,8/29/2018,2:04:51 PM,1157.3,1077.4,1227.3,5.11,3XS ,101
T-4,8/29/2018,2:05:15 PM,609.19,589.22,640.33,5.12,301,47
T-4,8/29/2018,2:05:31 PM,139.01,136.49,140.74,5.13,302,35
T-4,8/29/2018,2:05:51 PM,26.874,26.698,27.179,5.13,303,71
T-4,8/29/2018,2:06:07 PM,6.5808,6.5167,6.7541,5.13,304,66
T-4,8/29/2018,2:06:25 PM,1.6532,1.6669,2.0513,5.13,305,50
T-4,8/29/2018,2:06:42 PM,0.46563,0.38313,0.51795,5.13,3XB ,5
T-5,7/2/2018,2:08:42 PM,210.14,203.39,227.17,5.65,4XS ,98
T-5,7/2/2018,2:09:08 PM,15.296,14.801,17.458,5.65,401,47
T-5,7/2/2018,2:09:29 PM,0.13154,0.12225,0.14335,5.65,402,177
T-5,7/2/2018,2:09:45 PM,0.0074915,0,0.012171,5.65,403,14
T-5,7/2/2018,2:26:55 PM,226.28,221.82,229.8,5.65,3XS ,114
T-5,7/2/2018,2:27:22 PM,20.213,18.848,19.801,5.65,301,37
T-5,7/2/2018,2:27:50 PM,0.17183,0.17275,0.17735,5.65,302,195
T-5,7/2/2018,2:28:11 PM,0.0043745,0,0.010694,5.64,303,13
T-5,7/2/2018,2:50:12 PM,198.3,189.89,233.59,5.66,2XS ,125
T-5,7/2/2018,2:50:47 PM,17.642,17.251,18.705,5.65,201,39
T-5,7/2/2018,2:51:11 PM,0.15488,0.14587,0.16045,5.65,202,189
T-5,7/2/2018,2:51:30 PM,0.0033533,0,0.0052944,5.64,203,54
T-5,7/2/2018,3:17:21 PM,228.98,191.16,251.74,5.65,1XS ,115
T-5,7/2/2018,3:18:10 PM,24.413,22.512,25.108,5.64,101,18
T-5,7/2/2018,3:18:32 PM,0.2743,0.26517,0.2807,5.64,102,181
T-5,7/2/2018,3:18:57 PM,0.008255,0.0014659,0.027548,5.64,103,192
T-6,7/2/2018,12:05:24 PM,98.466,96,100.62,5.66,1XS ,104
T-6,7/2/2018,12:05:58 PM,8.3713,6.7663,8.4979,5.66,101,69
T-6,7/2/2018,12:06:19 PM,0.070371,0.065231,0.072327,5.65,102,70
T-6,7/2/2018,12:06:39 PM,0.0034339,0,0.014984,5.65,103,19
T-6,7/2/2018,12:28:45 PM,277.57,264.77,292.77,5.66,2XS ,137
T-6,7/2/2018,12:29:14 PM,19.122,18.897,19.998,5.65,201,65
T-6,7/2/2018,12:29:34 PM,0.11958,0.11276,0.12522,5.65,202,183
T-6,7/2/2018,12:29:51 PM,0.0037886,0,0.012263,5.65,203,17
T-6,7/2/2018,1:08:55 PM,143.01,142.33,148.55,5.67,3XS ,103
T-6,7/2/2018,1:09:29 PM,11.05,9.6489,10.946,5.66,301,50
T-6,7/2/2018,1:09:51 PM,0.1042,0.1047,0.121,5.66,302,153
T-6,7/2/2018,1:10:04 PM,0.00084048,0,0.047545,5.66,303,59
T-6,7/2/2018,1:28:24 PM,121.18,117.22,123.53,5.66,4XS ,96
T-6,7/2/2018,1:28:59 PM,5.6042,5.4942,5.685,5.66,401,58
T-6,7/2/2018,1:29:23 PM,0.045341,0.043768,0.047028,5.66,402,86
T-6,7/2/2018,1:29:40 PM,0.0040526,0,0.021713,5.66,403,5
T-7,7/2/2018,10:16:40 AM,62.249,61.444,70.727,5.65,1XS ,110
T-7,7/2/2018,10:17:20 AM,3.3213,2.9766,3.3778,5.65,101,43
T-7,7/2/2018,10:17:48 AM,0.028055,0.027096,0.031315,5.65,102,75
T-7,7/2/2018,10:18:10 AM,0.00040515,0,0.042822,5.65,103,44
T-7,7/2/2018,10:38:43 AM,51.871,50.827,53.476,5.65,2XS ,121
T-7,7/2/2018,10:39:14 AM,3.3675,3.1246,3.8248,5.65,201,45
T-7,7/2/2018,10:39:33 AM,0.022718,0.0090246,0.049299,5.65,202,138
T-7,7/2/2018,10:39:51 AM,0.00054346,0,0.0011615,5.65,203,102
T-7,7/2/2018,11:01:33 AM,97.041,93.587,107.08,5.66,3XS ,113
T-7,7/2/2018,11:02:01 AM,6.1456,5.9387,6.2573,5.65,301,44
T-7,7/2/2018,11:02:27 AM,0.045395,0.039104,0.045817,5.65,302,78
T-7,7/2/2018,11:02:43 AM,0.0089217,0,0.067104,5.65,303,8
T-7,7/2/2018,11:23:14 AM,83.507,78.568,87.957,5.66,4XS ,140
T-7,7/2/2018,11:23:37 AM,5.069,4.7636,5.2297,5.66,401,52
T-7,7/2/2018,11:23:57 AM,0.020744,0.0199,0.023352,5.65,402,68
T-7,7/2/2018,11:24:09 AM,0.004959,0,0.016831,5.65,403,15
T-8,6/13/2018,9:24:11 AM,193.35,166.08,202.6,5.78,3XS ,113
T-8,6/13/2018,9:24:45 AM,35.914,28.931,39.951,5.78,301,68
T-8,6/13/2018,9:25:25 AM,2.4071,2.205,2.5653,5.77,302,42
T-8,6/13/2018,9:25:52 AM,0.1391,0.12794,0.18355,5.77,303,195
T-8,6/13/2018,9:26:11 AM,0.013403,0.0074964,0.024182,5.77,304,129
T-8,6/13/2018,9:26:29 AM,0.0019979,0,0.053141,5.77,305,36
T-8,6/13/2018,9:26:49 AM,0.017076,0,0.08095,5.77,306,243
T-8,6/13/2018,9:27:15 AM,0.0071411,0,0.030894,5.77,307,27
T-8,6/13/2018,9:27:39 AM,0.0050665,0,0.12084,5.77,3XB ,38
T-8,6/13/2018,9:56:37 AM,196.14,166.97,211.45,5.77,1XS ,129
T-8,6/13/2018,9:57:09 AM,58.316,54.229,63.354,5.77,101,61
T-8,6/13/2018,9:57:41 AM,4.1398,3.2174,4.4753,5.77,102,59
T-8,6/13/2018,9:58:06 AM,0.5209,0.36171,0.53317,5.77,103,197
T-8,6/13/2018,9:58:34 AM,0.044615,0.0092117,0.08535,5.76,104,144
T-8,6/13/2018,9:59:10 AM,0.0073298,0,0.016691,5.76,105,38
T-8,6/13/2018,9:59:46 AM,0.0083642,0,0.036061,5.76,106,28
T-8,6/13/2018,10:00:19 AM,0.013813,0,0.021294,5.76,107,213
T-8,6/13/2018,10:00:43 AM,0.011394,0,0.020719,5.75,1XB ,9
T-8,6/13/2018,10:34:33 AM,197.74,186.93,212.12,5.74,2XS ,111
T-8,6/13/2018,10:35:15 AM,35.189,33.045,39.255,5.74,201,43
T-8,6/13/2018,10:35:46 AM,3.1523,2.4522,3.0906,5.74,202,32
T-8,6/13/2018,10:36:15 AM,0.3082,0.26889,0.31914,5.74,203,194
T-8,6/13/2018,10:36:44 AM,0.024672,0.015926,0.037598,5.74,204,99
T-8,6/13/2018,10:37:21 AM,0.0082517,0,0.031269,5.74,205,19
T-8,6/13/2018,10:37:49 AM,0.0089772,0,0.044886,5.74,206,42
T-8,6/13/2018,10:38:20 AM,0.021178,0,0.037982,5.73,2XB ,23
T-8,6/13/2018,11:08:25 AM,206.72,191.55,215.58,5.74,4XS ,112
T-8,6/13/2018,11:09:05 AM,42.157,39.701,50.798,5.73,401,48
T-8,6/13/2018,11:09:36 AM,3.5263,2.8467,3.5753,5.73,402,56
T-8,6/13/2018,11:10:16 AM,0.17964,0.14428,0.19395,5.72,403,197
T-8,6/13/2018,11:10:51 AM,0.015041,0,0.041863,5.72,404,208
T-8,6/13/2018,11:11:34 AM,0.00078871,0,0.0038896,5.72,405,125
T-8,6/13/2018,11:12:14 AM,0.016372,0,0.043781,5.71,406,216
T-8,6/13/2018,11:13:30 AM,0.0094298,0,0.022876,5.71,4XB ,78
T-8,6/13/2018,11:43:36 AM,128.4,123.15,136.83,5.73,5XS ,102
T-8,6/13/2018,11:44:15 AM,31.934,31.288,32.743,5.73,501,42
T-8,6/13/2018,11:44:52 AM,1.4223,1.0307,1.3978,5.72,502,35
T-8,6/13/2018,11:45:30 AM,0.10278,0.08157,0.11609,5.72,503,233
T-8,6/13/2018,11:46:09 AM,0.0066348,0,0.022693,5.71,504,28
T-8,6/13/2018,11:46:37 AM,0.0050238,0,0.031898,5.71,505,30
T-8,6/13/2018,11:47:04 AM,0.004551,0,0.015789,5.71,506,18
T-8,6/13/2018,11:47:21 AM,0.025391,0,0.091927,5.71,5XB ,26
T-9,7/9/2018,9:03:53 AM,198.48,194.31,228.02,5.59,1XS ,124
T-9,7/9/2018,9:04:41 AM,68.063,63.684,69.836,5.61,101,64
T-9,7/9/2018,9:05:16 AM,7.4331,7.5607,7.9669,5.61,102,69
T-9,7/9/2018,9:05:48 AM,0.59374,0.55883,0.64513,5.61,103,217
T-9,7/9/2018,9:06:14 AM,0.062752,0.060566,0.06421,5.61,104,85
T-9,7/9/2018,9:34:52 AM,609.91,567.46,632.86,5.61,2XS ,137
T-9,7/9/2018,9:35:30 AM,115.66,107.59,115.63,5.6,201,41
T-9,7/9/2018,9:35:56 AM,9.0441,8.2724,10.132,5.6,202,44
T-9,7/9/2018,9:36:40 AM,1.023,0.96326,0.98761,5.6,203,153
T-9,7/9/2018,9:37:10 AM,0.18096,0.16082,0.18729,5.6,204,207
T-9,7/9/2018,9:37:46 AM,0.013685,0.0027916,0.022929,5.6,205,151
T-9,7/9/2018,10:03:22 AM,599.61,570.07,758.67,5.6,4XS ,127
T-9,7/9/2018,10:04:01 AM,147.47,135.33,160.38,5.6,401,27
T-9,7/9/2018,10:04:33 AM,9.1117,10.068,14.462,5.6,402,31
T-9,7/9/2018,10:05:11 AM,0.85729,0.82534,0.92967,5.59,403,219
T-9,7/9/2018,10:05:49 AM,0.045617,0.04017,0.055513,5.59,404,90
T-9,7/9/2018,10:39:36 AM,719.47,679.85,755.38,5.6,3XS ,149
T-9,7/9/2018,10:40:13 AM,178.79,168.63,186.99,5.6,301,63
T-9,7/9/2018,10:40:54 AM,20.561,20.101,21.047,5.59,302,23
T-9,7/9/2018,10:41:22 AM,1.4607,1.3763,1.8059,5.59,303,51
T-9,7/9/2018,10:41:42 AM,0.15107,0.094804,0.12223,5.59,304,236
T-9,7/9/2018,10:42:02 AM,0.031477,0.017131,0.045323,5.59,305,79
T-10,7/9/2018,11:21:33 AM,1123.3,1097.2,1210.6,5.6,1XS ,84
